Country Name,Country Name Domestic,Name,Transcription
Sweden,Sverige,Doris,
Sweden,Sverige,Zelda,
Sweden,Sverige,Elsa,
Sweden,Sverige,Molly,
Sweden,Sverige,Selma,
Sweden,Sverige,Maja,
Sweden,Sverige,Luna,
Sweden,Sverige,Sally,
Sweden,Sverige,Bella,
Sweden,Sverige,Smulan,
Sweden,Sverige,Alice,
Sweden,Sverige,Smilla,
Sweden,Sverige,Saga,
Sweden,Sverige,Siri,
Sweden,Sverige,Svea,
Sweden,Sverige,Sessan,
Sweden,Sverige,Ester,
Sweden,Sverige,Iris,
Sweden,Sverige,Freja,
Sweden,Sverige,Stina,
Sweden,Sverige,Nala,
Sweden,Sverige,Lucy,
Sweden,Sverige,Mimmi,
Sweden,Sverige,Leia,
Sweden,Sverige,Stella,
Sweden,Sverige,Daisy,
Sweden,Sverige,Astrid,
Sweden,Sverige,Skrållan,
Sweden,Sverige,Nova,
Sweden,Sverige,Signe,
Sweden,Sverige,Lilly,
Sweden,Sverige,Lisa,
Sweden,Sverige,Missan,
Sweden,Sverige,Vilda,
Sweden,Sverige,Sigrid,
Sweden,Sverige,Mysan,
Sweden,Sverige,Busan,
Sweden,Sverige,Sotis,
Sweden,Sverige,Mini,
Sweden,Sverige,Cleo,
Sweden,Sverige,Tussan,
Sweden,Sverige,Ninja,
Sweden,Sverige,Lovis,
Sweden,Sverige,Dixie,
Sweden,Sverige,Ronja,
Sweden,Sverige,Majsan,
Sweden,Sverige,Kitty,
Sweden,Sverige,Majken,
Sweden,Sverige,Greta,
Sweden,Sverige,Kiwi,
Sweden,Sverige,Polly,
Sweden,Sverige,My,
Sweden,Sverige,Pepsi,
Sweden,Sverige,Flisan,
Sweden,Sverige,Sonja,
Sweden,Sverige,Tesla,
Sweden,Sverige,Märta,
Sweden,Sverige,Mira,
Sweden,Sverige,Kerstin,
Sweden,Sverige,Chanel,
Sweden,Sverige,Zoe,
Sweden,Sverige,Sara,
Sweden,Sverige,Fiona,
Sweden,Sverige,Ella,
Sweden,Sverige,Sia,
Sweden,Sverige,Tuva,
Sweden,Sverige,Pussel,
Sweden,Sverige,Isa,
Sweden,Sverige,Lola,
Sweden,Sverige,Chili,
Sweden,Sverige,Frida,
Sweden,Sverige,Tess,
Sweden,Sverige,Wilma,
Sweden,Sverige,Pixie,
Sweden,Sverige,Esmeralda,
Sweden,Sverige,Trixie,
Sweden,Sverige,Zoey,
Sweden,Sverige,Nellie,
Sweden,Sverige,Lillan,
Sweden,Sverige,Hilda,
Sweden,Sverige,Lilo,
Sweden,Sverige,Lizzy,
Sweden,Sverige,Kiara,
Sweden,Sverige,Katten,
Sweden,Sverige,Maya,
Sweden,Sverige,Inez,
Sweden,Sverige,Diva,
Sweden,Sverige,Cissi,
Sweden,Sverige,Fia,
Sweden,Sverige,Disa,
Sweden,Sverige,Charlie,
Sweden,Sverige,Vilja,
Sweden,Sverige,Skorpan,
Sweden,Sverige,Pippi,
Sweden,Sverige,Olivia,
Sweden,Sverige,loppan,
Sweden,Sverige,Lo,
Sweden,Sverige,Grace,
Sweden,Sverige,Lea,
Sweden,Sverige,Kattis,
Sweden,Sverige,Sigge,
Sweden,Sverige,Sixten,
Sweden,Sverige,Simba,
Sweden,Sverige,Morris,
Sweden,Sverige,Nisse,
Sweden,Sverige,Tiger,
Sweden,Sverige,Leo,
Sweden,Sverige,Charlie,
Sweden,Sverige,Bosse,
Sweden,Sverige,Findus,
Sweden,Sverige,Sune,
Sweden,Sverige,Zorro,
Sweden,Sverige,Gizmo,
Sweden,Sverige,Ozzy,
Sweden,Sverige,Musse,
Sweden,Sverige,Frasse,
Sweden,Sverige,Svante,
Sweden,Sverige,Måns,
Sweden,Sverige,Harry,
Sweden,Sverige,Elvis,
Sweden,Sverige,Tusse,
Sweden,Sverige,Felix,
Sweden,Sverige,Pelle,
Sweden,Sverige,Max,
Sweden,Sverige,Sture,
Sweden,Sverige,Nemo,
Sweden,Sverige,Blixten,
Sweden,Sverige,Gustav,
Sweden,Sverige,Zimba,
Sweden,Sverige,Bamse,
Sweden,Sverige,Sotis,
Sweden,Sverige,Lucifer,
Sweden,Sverige,Alfons,
Sweden,Sverige,Casper,
Sweden,Sverige,Atlas,
Sweden,Sverige,Zingo,
Sweden,Sverige,Tarzan,
Sweden,Sverige,Pepsi,
Sweden,Sverige,Messi,
Sweden,Sverige,Loke,
Sweden,Sverige,Hugo,
Sweden,Sverige,Mio,
Sweden,Sverige,Enzo,
Sweden,Sverige,Simon,
Sweden,Sverige,Texas,
Sweden,Sverige,Dexter,
Sweden,Sverige,Boris,
Sweden,Sverige,Frans,
Sweden,Sverige,Torsten,
Sweden,Sverige,Olle,
Sweden,Sverige,Kurre,
Sweden,Sverige,Aslan,
Sweden,Sverige,Tyson,
Sweden,Sverige,Milo,
Sweden,Sverige,Batman,
Sweden,Sverige,Zigge,
Sweden,Sverige,Rasmus,
Sweden,Sverige,Bob,
Sweden,Sverige,Ceasar,
Sweden,Sverige,Ludde,
Sweden,Sverige,Silver,
Sweden,Sverige,Stig,
Sweden,Sverige,Sven,
Sweden,Sverige,Pysen,
Sweden,Sverige,Samson,
Sweden,Sverige,Molle,
Sweden,Sverige,Rufus,
Sweden,Sverige,Lakrits,
Sweden,Sverige,Hasse,
Sweden,Sverige,Emil,
Sweden,Sverige,Frank,
Sweden,Sverige,Diesel,
Sweden,Sverige,Bagheera,
Sweden,Sverige,Caesar,
Sweden,Sverige,Teddy,
Sweden,Sverige,Thor,
Sweden,Sverige,Moses,
Sweden,Sverige,Oskar,
Sweden,Sverige,Loki,
Sweden,Sverige,Malte,
Sweden,Sverige,Kasper,
Sweden,Sverige,Milton,
Sweden,Sverige,Allan,
Sweden,Sverige,Eddie,
Sweden,Sverige,Elliot,
Sweden,Sverige,Chili,
Sweden,Sverige,Cesar,
Sweden,Sverige,Trassel,
Sweden,Sverige,Rambo,
Sweden,Sverige,Rocky,
Sweden,Sverige,Nils,
Sweden,Sverige,Otis,
Sweden,Sverige,Gösta,
Sweden,Sverige,Gandalf,
Sweden,Sverige,Lilleman,
Sweden,Sverige,Baloo,
Sweden,Sverige,Zlatan,
Sweden,Sverige,Vincent,
Sweden,Sverige,Turbo,
Sweden,Sverige,Sid,
Sweden,Sverige,Alice,
Sweden,Sverige,Aska,
Sweden,Sverige,Athena,
Sweden,Sverige,Ayla,
Sweden,Sverige,Bella,
Sweden,Sverige,Belle,
Sweden,Sverige,Bibi,
Sweden,Sverige,Bim,
Sweden,Sverige,Bliss,
Sweden,Sverige,CeCe,
Sweden,Sverige,Celine,
Sweden,Sverige,Cissan,
Sweden,Sverige,Dana,
Sweden,Sverige,Diddi,
Sweden,Sverige,Doris,
Sweden,Sverige,Elsa,
Sweden,Sverige,Emma,
Sweden,Sverige,Essa,
Sweden,Sverige,Gina,
Sweden,Sverige,Gosan,
Sweden,Sverige,Hera,
Sweden,Sverige,Hwila,
Sweden,Sverige,Ina,
Sweden,Sverige,Iris,
Sweden,Sverige,Jasmine,
Sweden,Sverige,Juni,
Sweden,Sverige,Lava,
Sweden,Sverige,Leia,
Sweden,Sverige,Lisa,
Sweden,Sverige,Lollo,
Sweden,Sverige,Lyra,
Sweden,Sverige,Karma,
Sweden,Sverige,Kaya,
Sweden,Sverige,Lexi,
Sweden,Sverige,Lucia,
Sweden,Sverige,Luna,
Sweden,Sverige,Lussan,
Sweden,Sverige,Lussi,
Sweden,Sverige,Maja,
Sweden,Sverige,Majsan,
Sweden,Sverige,Mimmi,
Sweden,Sverige,Missan,
Sweden,Sverige,Missy,
Sweden,Sverige,Molly,
Sweden,Sverige,Mysan,
Sweden,Sverige,Nicolina,
Sweden,Sverige,Niki,
Sweden,Sverige,Nova,
Sweden,Sverige,Pasha,
Sweden,Sverige,Pella,
Sweden,Sverige,Pica,
Sweden,Sverige,Pixie,
Sweden,Sverige,Saba,
Sweden,Sverige,Saga,
Sweden,Sverige,Sally,
Sweden,Sverige,Sasha,
Sweden,Sverige,Selma,
Sweden,Sverige,Sessan,
Sweden,Sverige,Smulan,
Sweden,Sverige,Siri,
Sweden,Sverige,Skrållan,
Sweden,Sverige,Smilla,
Sweden,Sverige,Snövit,
Sweden,Sverige,Sommar,
Sweden,Sverige,Stella,
